Day,2020,2019,2018,2017,2016,Restrictions
01/01/2020,20474,20757,20923,18178,17054,None
02/01/2020,33520,33926,31012,24545,26158,None
03/01/2020,36053,33342,30595,29242,23284,None
04/01/2020,29990,38165,32746,30491,29072,None
05/01/2020,25381,28780,35864,31496,30275,None
06/01/2020,33657,24852,26561,33485,30584,None
07/01/2020,34543,33229,22532,25616,31062,None
08/01/2020,35817,34547,31397,22636,34073,None
09/01/2020,36721,35589,32093,30612,25381,None
10/01/2020,40529,36205,33624,31488,22598,None
11/01/2020,30025,40755,34160,32511,30581,None
12/01/2020,27904,30156,37019,31724,31899,None
13/01/2020,32037,28263,28041,34086,32323,None
14/01/2020,36690,35527,25662,26909,31662,None
15/01/2020,37867,36373,33743,24357,34321,None
16/01/2020,38529,36909,32323,31219,25076,None
17/01/2020,42337,38254,33069,32088,22487,None
18/01/2020,30726,42107,35558,33167,30948,None
19/01/2020,28554,30944,39453,33413,31154,None
20/01/2020,36138,28606,28972,37915,32115,None
21/01/2020,36720,35043,24468,27948,33466,None
22/01/2020,38164,35493,34583,25567,37329,None
23/01/2020,38225,36986,34311,32385,27135,None
24/01/2020,43424,37951,35857,32278,25297,None
25/01/2020,33145,43308,36428,33266,31401,None
26/01/2020,30377,31279,40484,33474,31107,None
27/01/2020,36051,29660,30771,38699,32313,None
28/01/2020,36048,36031,28542,28981,32998,None
29/01/2020,37303,35695,34698,27057,37555,None
30/01/2020,39167,35378,34655,32012,27579,None
31/01/2020,43505,35212,35472,33249,25790,None
01/02/2020,31780,40366,36279,33839,30480,None
02/02/2020,29802,29599,40886,33668,32834,None
03/02/2020,36799,27465,29778,38736,32839,None
04/02/2020,37370,36124,27477,27389,33697,None
05/02/2020,38081,36433,34764,25630,37527,None
06/02/2020,39851,38066,33852,31722,28544,None
07/02/2020,44160,39248,35802,32764,24937,None
08/02/2020,31453,42327,37004,34269,31042,None
09/02/2020,25357,31235,41535,34575,31177,None
10/02/2020,35905,31026,29830,38905,32606,None
11/02/2020,34957,36819,26883,28175,33301,None
12/02/2020,37441,36796,33367,26479,37708,None
